cp	max_depth	min_split	min_bucket	ganancia_promedio
-10	5	10	5	44750000
-10	5	20	10	44750000
-10	5	30	15	43380000
-10	5	40	20	42960000
-10	5	50	25	42660000
-10	5	60	30	43320000
-10	5	70	35	43320000
-10	5	80	40	43320000
-10	5	100	50	43020000
-10	5	200	100	45420000
-10	5	300	150	45820000
-10	5	400	200	46530000
-10	5	500	250	46530000
-10	5	600	300	46450000
-10	5	700	350	45930000
-10	5	800	400	45930000
-10	5	900	450	45670000
-10	5	1000	500	45140000
-10	5	1100	550	46140000
-10	5	1200	600	46080000
-10	5	1500	750	44790000
-10	5	2000	1000	47910000
-10	6	10	5	44810000
-10	6	20	10	45450000
-10	6	30	15	45670000
-10	6	40	20	44800000
-10	6	50	25	44260000
-10	6	60	30	45150000
-10	6	70	35	45140000
-10	6	80	40	45080000
-10	6	100	50	44890000
-10	6	200	100	49450000
-10	6	300	150	47540000
-10	6	400	200	47430000
-10	6	500	250	47430000
-10	6	600	300	47880000
-10	6	700	350	48780000
-10	6	800	400	49020000
-10	6	900	450	47830000
-10	6	1000	500	47720000
-10	6	1100	550	48720000
-10	6	1200	600	48660000
-10	6	1500	750	46580000
-10	6	2000	1000	47910000
-10	7	10	5	4.8e+07
-10	7	20	10	47860000
-10	7	30	15	48520000
-10	7	40	20	46530000
-10	7	50	25	42550000
-10	7	60	30	42400000
-10	7	70	35	41550000
-10	7	80	40	42150000
-10	7	100	50	45670000
-10	7	200	100	46920000
-10	7	300	150	44360000
-10	7	400	200	46190000
-10	7	500	250	46190000
-10	7	600	300	46190000
-10	7	700	350	46750000
-10	7	800	400	49020000
-10	7	900	450	47830000
-10	7	1000	500	46700000
-10	7	1100	550	48720000
-10	7	1200	600	48660000
-10	7	1500	750	46580000
-10	7	2000	1000	47910000
-10	8	10	5	48670000
-10	8	20	10	43150000
-10	8	30	15	41840000
-10	8	40	20	38080000
-10	8	50	25	38180000
-10	8	60	30	38710000
-10	8	70	35	39520000
-10	8	80	40	39600000
-10	8	100	50	38240000
-10	8	200	100	41510000
-10	8	300	150	43210000
-10	8	400	200	47150000
-10	8	500	250	47980000
-10	8	600	300	47510000
-10	8	700	350	48020000
-10	8	800	400	50540000
-10	8	900	450	47830000
-10	8	1000	500	47430000
-10	8	1100	550	49450000
-10	8	1200	600	49390000
-10	8	1500	750	46580000
-10	8	2000	1000	47910000
-10	9	10	5	47280000
-10	9	20	10	40530000
-10	9	30	15	38480000
-10	9	40	20	37110000
-10	9	50	25	38080000
-10	9	60	30	39400000
-10	9	70	35	38110000
-10	9	80	40	36740000
-10	9	100	50	40810000
-10	9	200	100	43440000
-10	9	300	150	43810000
-10	9	400	200	48310000
-10	9	500	250	46730000
-10	9	600	300	46430000
-10	9	700	350	46910000
-10	9	800	400	49150000
-10	9	900	450	46310000
-10	9	1000	500	47430000
-10	9	1100	550	49450000
-10	9	1200	600	49390000
-10	9	1500	750	46580000
-10	9	2000	1000	47910000
-10	10	10	5	42440000
-10	10	20	10	41190000
-10	10	30	15	38180000
-10	10	40	20	37550000
-10	10	50	25	36940000
-10	10	60	30	35670000
-10	10	70	35	33670000
-10	10	80	40	32720000
-10	10	100	50	37760000
-10	10	200	100	42950000
-10	10	300	150	42030000
-10	10	400	200	47530000
-10	10	500	250	46740000
-10	10	600	300	45680000
-10	10	700	350	46150000
-10	10	800	400	47490000
-10	10	900	450	44930000
-10	10	1000	500	47430000
-10	10	1100	550	49450000
-10	10	1200	600	49390000
-10	10	1500	750	46580000
-10	10	2000	1000	47910000
-10	11	10	5	39660000
-10	11	20	10	37770000
-10	11	30	15	34750000
-10	11	40	20	35020000
-10	11	50	25	29280000
-10	11	60	30	30040000
-10	11	70	35	28590000
-10	11	80	40	28430000
-10	11	100	50	34530000
-10	11	200	100	41530000
-10	11	300	150	42650000
-10	11	400	200	47430000
-10	11	500	250	45780000
-10	11	600	300	44150000
-10	11	700	350	44530000
-10	11	800	400	47490000
-10	11	900	450	44930000
-10	11	1000	500	47430000
-10	11	1100	550	49450000
-10	11	1200	600	49390000
-10	11	1500	750	46580000
-10	11	2000	1000	47910000
-9	5	10	5	44750000
-9	5	20	10	44750000
-9	5	30	15	43380000
-9	5	40	20	42960000
-9	5	50	25	42660000
-9	5	60	30	43320000
-9	5	70	35	43320000
-9	5	80	40	43320000
-9	5	100	50	43020000
-9	5	200	100	45420000
-9	5	300	150	45820000
-9	5	400	200	46530000
-9	5	500	250	46530000
-9	5	600	300	46450000
-9	5	700	350	45930000
-9	5	800	400	45930000
-9	5	900	450	45670000
-9	5	1000	500	45140000
-9	5	1100	550	46140000
-9	5	1200	600	46080000
-9	5	1500	750	44790000
-9	5	2000	1000	47910000
-9	6	10	5	44810000
-9	6	20	10	45450000
-9	6	30	15	45670000
-9	6	40	20	44800000
-9	6	50	25	44260000
-9	6	60	30	45150000
-9	6	70	35	45140000
-9	6	80	40	45080000
-9	6	100	50	44890000
-9	6	200	100	49450000
-9	6	300	150	47540000
-9	6	400	200	47430000
-9	6	500	250	47430000
-9	6	600	300	47880000
-9	6	700	350	48780000
-9	6	800	400	49020000
-9	6	900	450	47830000
-9	6	1000	500	47720000
-9	6	1100	550	48720000
-9	6	1200	600	48660000
-9	6	1500	750	46580000
-9	6	2000	1000	47910000
-9	7	10	5	4.8e+07
-9	7	20	10	47860000
-9	7	30	15	48520000
-9	7	40	20	46530000
-9	7	50	25	42550000
-9	7	60	30	42400000
-9	7	70	35	41550000
-9	7	80	40	42150000
-9	7	100	50	45670000
-9	7	200	100	46920000
-9	7	300	150	44360000
-9	7	400	200	46190000
-9	7	500	250	46190000
-9	7	600	300	46190000
-9	7	700	350	46750000
-9	7	800	400	49020000
-9	7	900	450	47830000
-9	7	1000	500	46700000
-9	7	1100	550	48720000
-9	7	1200	600	48660000
-9	7	1500	750	46580000
-9	7	2000	1000	47910000
-9	8	10	5	48670000
-9	8	20	10	43150000
-9	8	30	15	41840000
-9	8	40	20	38080000
-9	8	50	25	38180000
-9	8	60	30	38710000
-9	8	70	35	39520000
-9	8	80	40	39600000
-9	8	100	50	38240000
-9	8	200	100	41510000
-9	8	300	150	43210000
-9	8	400	200	47150000
-9	8	500	250	47980000
-9	8	600	300	47510000
-9	8	700	350	48020000
-9	8	800	400	50540000
-9	8	900	450	47830000
-9	8	1000	500	47430000
-9	8	1100	550	49450000
-9	8	1200	600	49390000
-9	8	1500	750	46580000
-9	8	2000	1000	47910000
-9	9	10	5	47280000
-9	9	20	10	40530000
-9	9	30	15	38480000
-9	9	40	20	37110000
-9	9	50	25	38080000
-9	9	60	30	39400000
-9	9	70	35	38110000
-9	9	80	40	36740000
-9	9	100	50	40810000
-9	9	200	100	43440000
-9	9	300	150	43810000
-9	9	400	200	48310000
-9	9	500	250	46730000
-9	9	600	300	46430000
-9	9	700	350	46910000
-9	9	800	400	49150000
-9	9	900	450	46310000
-9	9	1000	500	47430000
-9	9	1100	550	49450000
-9	9	1200	600	49390000
-9	9	1500	750	46580000
-9	9	2000	1000	47910000
-9	10	10	5	42440000
-9	10	20	10	41190000
-9	10	30	15	38180000
-9	10	40	20	37550000
-9	10	50	25	36940000
-9	10	60	30	35670000
-9	10	70	35	33670000
-9	10	80	40	32720000
-9	10	100	50	37760000
-9	10	200	100	42950000
-9	10	300	150	42030000
-9	10	400	200	47530000
-9	10	500	250	46740000
-9	10	600	300	45680000
-9	10	700	350	46150000
-9	10	800	400	47490000
-9	10	900	450	44930000
-9	10	1000	500	47430000
-9	10	1100	550	49450000
-9	10	1200	600	49390000
-9	10	1500	750	46580000
-9	10	2000	1000	47910000
-9	11	10	5	39660000
-9	11	20	10	37770000
-9	11	30	15	34750000
-9	11	40	20	35020000
-9	11	50	25	29280000
-9	11	60	30	30040000
-9	11	70	35	28590000
-9	11	80	40	28430000
-9	11	100	50	34530000
-9	11	200	100	41530000
-9	11	300	150	42650000
-9	11	400	200	47430000
-9	11	500	250	45780000
-9	11	600	300	44150000
-9	11	700	350	44530000
-9	11	800	400	47490000
-9	11	900	450	44930000
-9	11	1000	500	47430000
-9	11	1100	550	49450000
-9	11	1200	600	49390000
-9	11	1500	750	46580000
-9	11	2000	1000	47910000
-8	5	10	5	44750000
-8	5	20	10	44750000
-8	5	30	15	43380000
-8	5	40	20	42960000
-8	5	50	25	42660000
-8	5	60	30	43320000
-8	5	70	35	43320000
-8	5	80	40	43320000
-8	5	100	50	43020000
-8	5	200	100	45420000
-8	5	300	150	45820000
-8	5	400	200	46530000
-8	5	500	250	46530000
-8	5	600	300	46450000
-8	5	700	350	45930000
-8	5	800	400	45930000
-8	5	900	450	45670000
-8	5	1000	500	45140000
-8	5	1100	550	46140000
-8	5	1200	600	46080000
-8	5	1500	750	44790000
-8	5	2000	1000	47910000
-8	6	10	5	44810000
-8	6	20	10	45450000
-8	6	30	15	45670000
-8	6	40	20	44800000
-8	6	50	25	44260000
-8	6	60	30	45150000
-8	6	70	35	45140000
-8	6	80	40	45080000
-8	6	100	50	44890000
-8	6	200	100	49450000
-8	6	300	150	47540000
-8	6	400	200	47430000
-8	6	500	250	47430000
-8	6	600	300	47880000
-8	6	700	350	48780000
-8	6	800	400	49020000
-8	6	900	450	47830000
-8	6	1000	500	47720000
-8	6	1100	550	48720000
-8	6	1200	600	48660000
-8	6	1500	750	46580000
-8	6	2000	1000	47910000
-8	7	10	5	4.8e+07
-8	7	20	10	47860000
-8	7	30	15	48520000
-8	7	40	20	46530000
-8	7	50	25	42550000
-8	7	60	30	42400000
-8	7	70	35	41550000
-8	7	80	40	42150000
-8	7	100	50	45670000
-8	7	200	100	46920000
-8	7	300	150	44360000
-8	7	400	200	46190000
-8	7	500	250	46190000
-8	7	600	300	46190000
-8	7	700	350	46750000
-8	7	800	400	49020000
-8	7	900	450	47830000
-8	7	1000	500	46700000
-8	7	1100	550	48720000
-8	7	1200	600	48660000
-8	7	1500	750	46580000
-8	7	2000	1000	47910000
-8	8	10	5	48670000
-8	8	20	10	43150000
-8	8	30	15	41840000
-8	8	40	20	38080000
-8	8	50	25	38180000
-8	8	60	30	38710000
-8	8	70	35	39520000
-8	8	80	40	39600000
-8	8	100	50	38240000
-8	8	200	100	41510000
-8	8	300	150	43210000
-8	8	400	200	47150000
-8	8	500	250	47980000
-8	8	600	300	47510000
-8	8	700	350	48020000
-8	8	800	400	50540000
-8	8	900	450	47830000
-8	8	1000	500	47430000
-8	8	1100	550	49450000
-8	8	1200	600	49390000
-8	8	1500	750	46580000
-8	8	2000	1000	47910000
-8	9	10	5	47280000
-8	9	20	10	40530000
-8	9	30	15	38480000
-8	9	40	20	37110000
-8	9	50	25	38080000
-8	9	60	30	39400000
-8	9	70	35	38110000
-8	9	80	40	36740000
-8	9	100	50	40810000
-8	9	200	100	43440000
-8	9	300	150	43810000
-8	9	400	200	48310000
-8	9	500	250	46730000
-8	9	600	300	46430000
-8	9	700	350	46910000
-8	9	800	400	49150000
-8	9	900	450	46310000
-8	9	1000	500	47430000
-8	9	1100	550	49450000
-8	9	1200	600	49390000
-8	9	1500	750	46580000
-8	9	2000	1000	47910000
-8	10	10	5	42440000
-8	10	20	10	41190000
-8	10	30	15	38180000
-8	10	40	20	37550000
-8	10	50	25	36940000
-8	10	60	30	35670000
-8	10	70	35	33670000
-8	10	80	40	32720000
-8	10	100	50	37760000
-8	10	200	100	42950000
-8	10	300	150	42030000
-8	10	400	200	47530000
-8	10	500	250	46740000
-8	10	600	300	45680000
-8	10	700	350	46150000
-8	10	800	400	47490000
-8	10	900	450	44930000
-8	10	1000	500	47430000
-8	10	1100	550	49450000
-8	10	1200	600	49390000
-8	10	1500	750	46580000
-8	10	2000	1000	47910000
-8	11	10	5	39660000
-8	11	20	10	37770000
-8	11	30	15	34750000
-8	11	40	20	35020000
-8	11	50	25	29280000
-8	11	60	30	30040000
-8	11	70	35	28590000
-8	11	80	40	28430000
-8	11	100	50	34530000
-8	11	200	100	41530000
-8	11	300	150	42650000
-8	11	400	200	47430000
-8	11	500	250	45780000
-8	11	600	300	44150000
-8	11	700	350	44530000
-8	11	800	400	47490000
-8	11	900	450	44930000
-8	11	1000	500	47430000
-8	11	1100	550	49450000
-8	11	1200	600	49390000
-8	11	1500	750	46580000
-8	11	2000	1000	47910000
-7	5	10	5	44750000
-7	5	20	10	44750000
-7	5	30	15	43380000
-7	5	40	20	42960000
-7	5	50	25	42660000
-7	5	60	30	43320000
-7	5	70	35	43320000
-7	5	80	40	43320000
-7	5	100	50	43020000
-7	5	200	100	45420000
-7	5	300	150	45820000
-7	5	400	200	46530000
-7	5	500	250	46530000
-7	5	600	300	46450000
-7	5	700	350	45930000
-7	5	800	400	45930000
-7	5	900	450	45670000
-7	5	1000	500	45140000
-7	5	1100	550	46140000
-7	5	1200	600	46080000
-7	5	1500	750	44790000
-7	5	2000	1000	47910000
-7	6	10	5	44810000
-7	6	20	10	45450000
-7	6	30	15	45670000
-7	6	40	20	44800000
